fault,design,N,window,success_count,batch_status,write_p50_ms,finalization_latency_ms
F3,A,4,3,3,invalid,1116.1,547.9
F3,A,4,6,1,expired,1172.1,1126.3
F3,A,4,8,2,invalid,1189.9,547.3
F3,A,4,9,2,expired,1186.4,1027.9
F3,A,8,1,3,expired,1251.3,957.3
F3,A,8,2,7,expired,1232.1,1212.1
F3,A,8,7,5,invalid,1192.9,423.1
F3,A,16,0,11,expired,1235.8,1178.2
F3,A,16,1,9,invalid,1129.1,553.7
F3,A,16,3,11,invalid,1224.2,452.9
F3,A,16,4,6,invalid,1171.4,447.3
F3,B,2,0,0,slots_created,,
F3,B,2,1,0,slots_created,,
F3,B,2,2,0,slots_created,,
F3,B,2,3,0,slots_created,,
F3,B,2,4,0,slots_created,,
F3,B,2,5,0,slots_created,,
F3,B,2,6,0,slots_created,,
F3,B,2,7,0,slots_created,,
F3,B,2,8,0,slots_created,,
F3,B,2,9,0,slots_created,,
F3,B,4,0,0,slots_created,,
F3,B,4,1,0,slots_created,,
F3,B,4,2,0,slots_created,,
F3,B,4,3,0,slots_created,,
F3,B,4,4,0,slots_created,,
F3,B,4,5,0,slots_created,,
F3,B,4,6,0,slots_created,,
F3,B,4,7,0,slots_created,,
F3,B,4,8,0,slots_created,,
F3,B,4,9,0,slots_created,,
F3,B,8,0,0,slots_created,,
F3,B,8,1,0,slots_created,,
F3,B,8,2,0,slots_created,,
F3,B,8,3,0,slots_created,,
F3,B,8,4,0,slots_created,,
F3,B,8,5,0,slots_created,,
F3,B,8,6,0,slots_created,,
F3,B,8,7,0,slots_created,,
F3,B,8,8,0,slots_created,,
F3,B,8,9,0,slots_created,,
F3,B,16,0,0,slots_created,,
F3,B,16,1,0,slots_created,,
F3,B,16,2,0,slots_created,,
F3,B,16,3,0,slots_created,,
F3,B,16,4,0,slots_created,,
F3,B,16,5,0,slots_created,,
F3,B,16,6,0,slots_created,,
F3,B,16,7,0,slots_created,,
F3,B,16,8,0,slots_created,,
F3,B,16,9,0,slots_created,,
F3,B,32,0,0,slots_created,,
F3,B,32,1,0,slots_created,,
F3,B,32,2,0,slots_created,,
F3,B,32,3,0,slots_created,,
F3,B,32,4,0,slots_created,,
F3,B,32,5,0,slots_created,,
F3,B,32,6,0,slots_created,,
F3,B,32,7,0,slots_created,,
F3,B,32,8,0,slots_created,,
F3,B,32,9,0,slots_created,,
